company,time,Mclsprc,Mnshrtrd,Mnvaltrd,Msmvosd,returns1,shizhi,returns
488,Nov-04,11.35,28359660,319966137,2674055.09,0.018766317,2429557.08,-0.003548199
488,Nov-03,9.14,62145214,554599529,2153380.04,-0.012181658,2511491.383,0.014026298
488,Nov-02,16.6,47095059,798672615.4,1278200,-0.004942608,1308358.333,0.008223017
488,Nov-01,13.85,4886053,64325791.49,1066450,0.009510478,1023971.667,-0.000267588
521,Nov-16,6.96,227961592,1571723208,4123326.61,0.012020571,4128263.543,0.001061345
521,Nov-15,7.07,252994263,1916785369,4184240.46,0.038515133,3584907.127,-0.005458838
521,Nov-14,5.93,216803631,1268102818,3503820.95,-0.002919638,4084942.108,0.026167748
521,Nov-13,4.08,129191057,503305204.6,2185024.16,0.011869656,2870227.947,0.018271732
521,Nov-12,3.33,77165341,277698985.2,1779575.08,-0.03865715,2132875.46,0.008436987
521,Nov-11,5.34,60630804,359658295.2,1875613.35,-0.045513436,1979001.903,-0.010067499
521,Nov-10,11.32,218809216,2603850992,2983879.1,-0.019505276,3280603.278,-0.006654658
521,Nov-09,11.37,395266697,4106187556,2123084.66,0.117741367,2826345.345,0.023527025
521,Nov-08,2.92,91393919,267638209.8,545242.5,0.08517161,745351.475,0.053415413
521,Nov-07,6.48,83178467,557454289,1128707.94,-0.015794267,1215218.992,-0.010781785
521,Nov-06,3.36,26747988,87757440,509141.9,0,818011.2917,0.078142836
521,Nov-05,2.67,75809992,224722466,404585.97,0.021677545,407616.5783,0.000849901
521,Nov-04,3.51,24364414,87027682,531871.44,0.01128101,463177.6967,-0.022392064
521,Nov-03,4.1,13014032,52211241,621095.32,0.01399335,691356.185,0.012831306
521,Nov-02,5.07,10901204,56972350.11,768037.39,-0.047808472,782428.6217,-0.008110986
521,Nov-01,7.73,20965815,158447499,1170991.91,-0.016536051,952598.6383,-0.018139255
525,Nov-16,16.44,81029321,1345447846,8334802.05,0.01559863,9383412.078,0.014992348
525,Nov-15,16.45,187470962,3273046920,8339871.88,0.031190712,7169585.908,-0.008732557
525,Nov-14,15.92,41364253,666071164.6,8071170.84,-0.008642962,8925437.353,0.017248661
525,Nov-13,16.21,121274836,1870010819,4538396.14,0.033113082,4078303.753,-0.007295027
525,Nov-12,9.46,52628260,569563493,2614914.74,-0.092294725,3689289.468,0.019653753
525,Nov-11,15.63,42076053,700942030.5,4320414.11,-0.008801709,3902101.46,-0.012178466
525,Nov-10,18.64,118376807,2102701669,5152416.65,0.021002947,4306580.007,-0.01588724
525,Nov-09,16.68,236302583,3796806075,4610594.96,0.06022943,4635032.648,0.004727514
525,Nov-08,10.75,37073602,364187917.8,2197142.32,0.12453493,3049429.155,0.064451663
525,Nov-07,12.32,121687506,1700041523,2434703.87,-0.024666884,3273290.922,0.008179211
525,Nov-06,7,71332798,461225530,1213686.28,0.017728767,1642811.068,0.047203406
525,Nov-05,3.18,12361312,40785226,411510.64,-0.017400874,510074.8317,0.031290364
525,Nov-04,5.66,25624167,145416190,732437.18,0.012453742,613815.1417,-0.025255161
525,Nov-03,5.33,72014808,356256735,689733.25,-0.004861556,875430.6633,0.026658115
525,Nov-02,7.99,9867073,81343035.72,1033952.85,-0.036972473,990386.2067,-0.016883338
525,Nov-01,8.83,9458697,77470884.86,1142653.77,0.0488837,1107714.187,0.009124339
528,Nov-16,7.85,442068932,3472263596,8831858.85,0.03753716,9325075.467,0.010638926
528,Nov-15,8.06,583913226,5267334241,9068206.02,-0.028163409,7950621.387,-0.016151669
528,Nov-14,8.29,1026753784,8520893107,9326982.72,0.05761791,13163534.12,0.048558621
528,Nov-13,6.77,123442841,807251881.3,7516231.59,0.016341073,6871679.705,-0.005655047
528,Nov-12,8.15,129689665,1074147947,9048343.79,-0.007396922,10117861.73,-0.002940244
528,Nov-11,13.47,219895988,3451342678,13136283.88,-0.073393092,13552509.5,-0.013205951
528,Nov-10,38.82,558719927,18836046640,25238652.66,0.063363007,25322225.07,0.006986986
